meta.uuid,dem.age,dem.city_or_rural,dem.country_code,dem.education_level,dem.gender,question.DAL_residency,question.DAL_employment_status,question.DAL_household_income,question.DAL_disposable_income,question.DAL_CCI-Q12_household_finance_present,question.DAL_CCI_EC-Q1_household_finance_past,question.DAL_CCI_EC-Q2_household_finance_future,question.DAL_CCI-Q14_economic_situation_present,question.DAL_CCI_EC-Q3_economic_situation_past,question.DAL_CCI_EC-Q4_economic_situation_future,question.DAL_CCI_EC-Q5_inflation_past,question.DAL_CCI_EC-Q6_inflation_future,question.DAL_CCI-Q13_job_situation_present,question.DAL_CCI_EC-Q7_unemployment_future,question.DAL_CCI_EC-Q8_purchases_present,question.DAL_CCI_EC-Q9_purchases_future,question.DAL_PolRisk_democratic_change,question.DAL_PolRisk_strong_leader,question.DAL_PolRisk_approve_president,question.DAL_PolRisk_approve_political_rep,question.DAL_PolRisk_approve_ruling_party_VE,question.DAL_PolRisk_approve_ruling_party_MX,question.DAL_PolRisk_approve_ruling_party_BR,question.DAL_PolRisk_approve_ruling_party_TR,question.DAL_PolRisk_approve_ruling_party_UA,question.DAL_PolRisk_trust_police,question.DAL_PolRisk_trust_courts,question.DAL_PolRisk_tax_evasion,question.DAL_PolRisk_inequality_past,question.DAL_PolRisk_inequality_anger,question.DAL_PolRisk_corrupt_past,question.DAL_PolRisk_corrupt_anger,question.DAL_PolRisk_corrupt_experience,question.DAL_PolRisk_politcal_stability,question.DAL_PolRisk_protest_likelihood,question.DAL_opinion_foreign_companies,question.DAL_positive_countries_MX_BR_VE,question.DAL_positive_countries_UA_TR_EG,question.DAL_negative_countries_MX_BR_VE,question.DAL_negative_countries_UA_TR_EG,question.DAL_protectionism,question.DAL_migration_time,question.DAL_migration_motives
00d10ed0-dc43-0135-139b-0a62aae02c3c,29,city,BR,medium,male,"Yes, as a citizen","Employed, working 30 or more hours per week",200 - 300,Most of it,Somewhat secure,... a little better,... get a lot better,Fairly well,... stayed the same,... get a little better,... increased a lot,... increase moderately,Somewhat secure,... decrease a little,The wrong moment,About the same,Neither more nor less,Somewhat agree,Somewhat disapprove,Somewhat disapprove,,,Somewhat disapprove,,,A little,A little,Never acceptable,... increased a little,Very angry,... increased a lot,Very angry,No,Not very stable,Not very likely,Somewhat negative,Japan | Germany | United States | Canada,,China,,Too little,Never,
00d1cb60-dc24-0135-e68b-0a62aae02c3c,23,city,VE,medium,female,"Yes, as a citizen","Not employed, currently looking for work",Prefer not to say,All of it,Prefer not to answer,... a little worse,... get a lot better,Very poorly,... got a lot worse,... get a lot better,... increased a lot,... decrease,Very secure,... increase a lot,The wrong moment,More purchases,Much less,Neither agree nor disagree,Strongly approve,Strongly approve,Strongly approve,,,,,A lot,A little,Sometimes acceptable,... decreased a little,A little angry,... increased a lot,A little angry,Yes,Not very stable,Somewhat likely,Very positive,None of the above,,None of the above,,The right amount,Never,
00dfa4f0-dc37-0135-ffcd-0a62aae02c3c,20,city,EG,medium,male,"Yes, as a citizen","In school, university or practical training",100 - 200,Most of it,Very secure,... a little better,... stay the same,Neither well nor poorly,... got a little better,... get a little better,... increased a lot,... increase a little,Somewhat secure,... decrease a little,The right moment,About the same,Slightly more,Somewhat agree,Strongly approve,Somewhat approve,,,,,,A lot,A lot,Never acceptable,... stayed the same,Very angry,... decreased a little,Very angry,Yes,Very stable,Somewhat likely,Somewhat positive,,India | China | Saudi Arabia,,China,Don't know,Sometime later,Educational opportunities | Desire to travel / see the world | Job / career opportunities
0105a980-e419-0135-c531-0a901406a434,32,city,UA,high,male,"Yes, as a citizen","Employed, working 30 or more hours per week",200 - 300,Most of it,Not at all secure,... a little worse,Don't know,Fairly poorly,... got a little worse,Don't know,... increased a lot,... increase a lot,Somewhat secure,... increase a little,The wrong moment,Fewer purchases,Slightly more,Neither agree nor disagree,Somewhat disapprove,Strongly disapprove,,,,,Neither approve nor disapprove,Not at all,Not at all,Never acceptable,... increased a lot,Very angry,... stayed the same,Very angry,No,Somewhat stable,Not very likely,Very positive,,China | Germany | United States | Japan,,Russia,Don't know,Never,
01086310-e1a1-0135-8d6f-0a901406a434,30,city,EG,medium,female,"Yes, as a citizen","Employed, working 30 or more hours per week",Under 100,All of it,Not at all secure,... a little worse,... get a lot worse,Fairly poorly,... got a little worse,... stay the same,... increased a little,... increase a lot,Not at all secure,... increase a little,Neither the right moment nor the wrong moment,Fewer purchases,Slightly less,Somewhat disagree,Somewhat disapprove,Somewhat disapprove,,,,,,Not a lot,Not a lot,Never acceptable,... increased a little,A little angry,... increased a little,A little angry,No,Not very stable,Somewhat likely,Neither positive nor negative,,Saudi Arabia,,India,Too little,Within the next 3 years,Economic situation in my country
010b25f0-e676-0135-3cab-0a62aae02c3c,24,city,UA,medium,female,"Yes, as a citizen","In school, university or practical training",Prefer not to say,Don't know,Somewhat secure,... the same,... get a little better,Fairly poorly,... got a little worse,... get a little better,... increased moderately,... increase moderately,Very secure,... decrease a little,The wrong moment,About the same,Slightly more,Somewhat disagree,Somewhat approve,Neither approve nor disapprove,,,,,Somewhat disapprove,A little,A little,Never acceptable,... stayed the same,Very angry,... decreased a little,Very angry,Yes,Not at all stable,Somewhat likely,Very positive,,France | United States | Japan | Germany | United Kingdom,,Russia | Turkey,Too little,Sometime later,Job / career opportunities | Educational opportunities | Political situation in my country | Desire to travel / see the world
01107210-e659-0135-b383-0a901406a434,44,rural,TR,low,male,"Yes, as a citizen","Disabled, not able to work",Under 100,About half,Somewhat secure,... the same,Don't know,Neither well nor poorly,... stayed the same,... get a little better,... increased a lot,... increase moderately,Somewhat secure,... stay the same,Neither the right moment nor the wrong moment,About the same,Much less,Strongly agree,Somewhat disapprove,Neither approve nor disapprove,,,,Somewhat approve,,A little,A little,Sometimes acceptable,... increased a little,A little angry,... increased a little,A little angry,Yes,Not very stable,Not very likely,Somewhat positive,,Germany,,None of the above,The right amount,Never,
02873f90-dc25-0135-3329-0a901406a434,22,city,VE,medium,female,"Yes, as a citizen","Not employed, currently looking for work",Prefer not to say,All of it,Not very secure,... the same,... get a lot better,Very poorly,... got a little worse,... get a lot better,... increased a lot,... stay about the same,Not very secure,... stay the same,The wrong moment,Don't know,Neither more nor less,Strongly agree,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,,,,,Not at all,Not a lot,Never acceptable,... increased a lot,A little angry,... increased a lot,Very angry,No,Not very stable,Not at all likely,Neither positive nor negative,None of the above,,None of the above,,Too little,Sometime later,Personal safety | Economic situation in my country | Educational opportunities | Job / career opportunities | Other reason related to quality of life
0119cbf0-dcb3-0135-ca42-0a901406a434,15,city,BR,medium,female,"Yes, as a citizen","In school, university or practical training",400 - 500,Don't know,Somewhat secure,... a little worse,... get a little better,Fairly well,... got a little better,... get a lot better,... increased a little,... increase a little,Prefer not to answer,... increase a little,The right moment,More purchases,Slightly more,Strongly agree,Somewhat disapprove,Somewhat approve,,,Strongly approve,,,Not a lot,Not a lot,Sometimes acceptable,... increased a little,Very angry,... increased a little,A little angry,Yes,Somewhat stable,Somewhat likely,Neither positive nor negative,China | United States | Japan | Germany,,France,,Don't know,Within the next 3 years,Desire to travel / see the world | Escaping oppression or discrimination in my country | Other reason related to quality of life
0131b9e0-dc35-0135-48b8-0a901406a434,23,city,BR,medium,female,"Yes, as a citizen",Selfå_-employed / Freelancer,1000 - 1500,Most of it,Not very secure,... a little better,... get a little better,Fairly poorly,... got a little worse,... stay the same,... increased a lot,... increase a little,Not at all secure,... increase a little,The wrong moment,Fewer purchases,Much less,Somewhat agree,Strongly disapprove,Strongly disapprove,,,Somewhat disapprove,,,Not a lot,A little,Never acceptable,... increased a lot,Very angry,... stayed the same,Very angry,Yes,Not at all stable,Somewhat likely,Somewhat negative,Canada,,United States,,Too little,Sometime later,Job / career opportunities | Civic freedoms | Political situation in my country | Educational opportunities | Economic situation in my country | Personal safety
014ec900-e41a-0135-900d-0a62aae02c3c,25,city,UA,low,male,"Yes, as a citizen","In school, university or practical training",400 - 500,Less than half,Prefer not to answer,... a little better,... get a little better,Very poorly,... got a lot worse,... get a lot worse,... stayed about the same,... increase moderately,Prefer not to answer,... decrease a little,The wrong moment,Don't know,Much more,Strongly agree,Strongly disapprove,Strongly disapprove,,,,,Strongly disapprove,Not a lot,Not at all,Sometimes acceptable,... increased a lot,Very angry,... increased a lot,Very angry,No,Not at all stable,Not very likely,Neither positive nor negative,,China | Japan | India,,None of the above,Too little,Sometime later,Political situation in my country | Economic situation in my country | Other reason related to quality of life
0152a2f0-dc36-0135-49fb-0a901406a434,25,rural,EG,low,male,"Yes, as a citizen",Retired,100 - 200,All of it,Somewhat secure,... the same,... get a little better,Fairly poorly,... stayed the same,... get a little better,... increased a lot,... increase a little,Somewhat secure,... increase a little,The wrong moment,About the same,Slightly more,Strongly agree,Somewhat disapprove,Somewhat disapprove,,,,,,Not a lot,Not a lot,Never acceptable,... stayed the same,Very angry,... stayed the same,Very angry,No,Somewhat stable,Not at all likely,Somewhat positive,,United States,,None of the above,Too little,Never,
016f7260-dc1d-0135-de32-0a62aae02c3c,44,city,BR,high,male,"Yes, as a citizen","Employed, working 30 or more hours per week",2000 - 3000,About half,Not very secure,... a little better,... stay the same,Very poorly,... got a lot worse,... get a lot worse,... increased moderately,... increase moderately,Somewhat secure,... increase a little,The wrong moment,About the same,Much less,Strongly agree,Strongly disapprove,Strongly disapprove,,,Strongly disapprove,,,Not at all,Not at all,Never acceptable,... increased a little,Very angry,... increased a lot,Very angry,Yes,Not at all stable,Very likely,Neither positive nor negative,United States | China | Germany,,None of the above,,Too little,Sometime later,Personal safety | Cost of living | Educational opportunities | Economic situation in my country | Political situation in my country | Escaping oppression or discrimination in my country
017432f0-dc76-0135-9b12-0a901406a434,26,city,MX,medium,male,"Yes, as a citizen",Selfå_-employed / Freelancer,400 - 500,About half,Somewhat secure,... the same,... get a little better,Neither well nor poorly,... stayed the same,... get a little better,... increased a little,... stay about the same,Very secure,... decrease a little,The right moment,About the same,Neither more nor less,Strongly agree,Somewhat disapprove,Neither approve nor disapprove,,Somewhat disapprove,,,,Not a lot,A little,Never acceptable,... stayed the same,Not very angry,Don't know,A little angry,No,Somewhat stable,Not at all likely,Somewhat positive,Germany | France | Japan,,Spain,,The right amount,Sometime later,Desire to travel / see the world | Personal safety
017dfc00-dc3b-0135-51b7-0a901406a434,48,city,MX,high,male,"Yes, as a citizen","Employed, working 30 or more hours per week",2000 - 3000,About half,Very secure,... a little better,... get a little better,Neither well nor poorly,... stayed the same,... get a little better,... increased a lot,... increase a little,Somewhat secure,... stay the same,Neither the right moment nor the wrong moment,About the same,Slightly less,Somewhat agree,Neither approve nor disapprove,Strongly disapprove,,Neither approve nor disapprove,,,,Not at all,Not at all,Never acceptable,... stayed the same,Very angry,... increased a little,Very angry,No,Not very stable,Not at all likely,Neither positive nor negative,Japan | Canada | Germany | United Kingdom | France,,China | United States,,The right amount,Never,
018b8ae0-dc28-0135-eb75-0a62aae02c3c,32,city,VE,high,female,"Yes, as a citizen",Selfå_-employed / Freelancer,200 - 300,All of it,Not at all secure,Don't know,... get a lot better,Very poorly,... got a lot worse,Don't know,... increased a lot,Don't know,Not at all secure,... increase a little,The right moment,About the same,Much less,Strongly agree,Strongly disapprove,Strongly disapprove,Strongly disapprove,,,,,Not at all,Not at all,Sometimes acceptable,... increased a lot,A little angry,... increased a lot,Very angry,Yes,Not at all stable,Somewhat likely,Very positive,Canada | United Kingdom | Japan | France,,None of the above,,Don't know,Within the next year,Desire to travel / see the world | Political situation in my country | Job / career opportunities | Cost of living | Economic situation in my country | Escaping oppression or discrimination in my country | Personal safety | Educational opportunities | Civic freedoms | Other reason related to quality of life | Other reason
019868f0-dc74-0135-3f32-0a62aae02c3c,19,city,TR,low,female,"Yes, as a citizen","Not employed, currently looking for work",200 - 300,All of it,Very secure,... a lot better,... get a lot better,Fairly well,... got a little better,... get a lot better,... increased moderately,... increase a lot,Very secure,... increase a lot,The right moment,More purchases,Much more,Somewhat agree,Strongly approve,Strongly approve,,,,Strongly approve,,A lot,Not a lot,Never acceptable,... increased a lot,Very angry,... increased a lot,Very angry,Yes,Very stable,Not very likely,Very positive,,United States,,United States,Too much,Never,
01a81ae0-dc29-0135-ecdc-0a62aae02c3c,30,city,VE,high,female,"Yes, as a citizen","Employed, working 1 to å_29 hours per week",200 - 300,Most of it,Somewhat secure,... a little better,... get a little better,Very poorly,... got a lot worse,... get a little better,... increased a lot,... increase a lot,Somewhat secure,... increase a little,Neither the right moment nor the wrong moment,About the same,Much less,Somewhat agree,Strongly disapprove,Somewhat disapprove,Strongly disapprove,,,,,Not a lot,Not at all,Never acceptable,... increased a lot,A little angry,... increased a lot,Very angry,Yes,Not at all stable,Very likely,Neither positive nor negative,Spain | United States | France | Canada | United Kingdom,,China,,Too little,Within the next year,Economic situation in my country | Political situation in my country | Personal safety | Cost of living | Educational opportunities | Job / career opportunities
01c14540-dc84-0135-4c5b-0a62aae02c3c,17,rural,BR,medium,male,"Yes, as a citizen",None of the above,1500 - 2000,About half,Very secure,... a lot better,Don't know,Neither well nor poorly,... got a little better,... stay the same,... increased moderately,... stay about the same,Very secure,... increase a lot,The wrong moment,More purchases,Much less,Somewhat agree,Strongly disapprove,Strongly disapprove,,,Strongly disapprove,,,Not a lot,Not at all,Never acceptable,... increased a lot,Very angry,... increased a lot,Very angry,No,Don't know,Not at all likely,Very negative,United States | China | Canada,,Spain | France | Japan,,Don't know,Within the next 3 years,Job / career opportunities | Educational opportunities | Weather / climate | Cost of living | Desire to travel / see the world
01c235a0-dc28-0135-eb76-0a62aae02c3c,22,rural,VE,low,female,"Yes, as a citizen","In school, university or practical training",100 - 200,Most of it,Very secure,... the same,... stay the same,Fairly poorly,... got a lot worse,... get a little better,... increased a lot,... increase moderately,Prefer not to answer,... increase a little,The wrong moment,Don't know,Neither more nor less,Neither agree nor disagree,Somewhat disapprove,Neither approve nor disapprove,Somewhat disapprove,,,,,Not a lot,Not a lot,Never acceptable,... increased a little,A little angry,... increased a little,Very angry,Yes,Not very stable,Somewhat likely,Very positive,None of the above,,None of the above,,Don't know,Sometime later,Other reason
01c3d850-dc52-0135-2838-0a62aae02c3c,39,city,BR,medium,female,"Yes, as a citizen",Entrepreneur / Employer,500 - 750,Most of it,Not very secure,... a little better,... get a lot better,Very poorly,... got a lot worse,... stay the same,... increased a lot,... increase a little,Not very secure,... increase a little,Neither the right moment nor the wrong moment,About the same,Much less,Strongly agree,Strongly disapprove,Strongly disapprove,,,Strongly disapprove,,,A lot,Not at all,Sometimes acceptable,... increased a lot,Very angry,... increased a lot,Very angry,No,Not at all stable,Very likely,Somewhat positive,United States | China,,None of the above,,Don't know,Within the next 3 years,Political situation in my country | Cost of living | Educational opportunities | Personal safety | Weather / climate | Economic situation in my country | Job / career opportunities
01e4ae50-dc26-0135-3476-0a901406a434,23,rural,VE,high,female,"Yes, as a citizen","Not employed, currently looking for work",Prefer not to say,All of it,Not very secure,... a little better,... get a lot better,Neither well nor poorly,... got a little worse,... get a little better,... increased moderately,... decrease,Not very secure,... decrease a little,The wrong moment,About the same,Much more,Neither agree nor disagree,Somewhat approve,Somewhat approve,Somewhat approve,,,,,Not a lot,A little,Never acceptable,... increased a little,A little angry,... increased a little,Very angry,Yes,Not very stable,Not at all likely,Somewhat positive,China,,United States,,Too much,Never,
01e63a50-dce6-0135-f765-0a901406a434,19,city,TR,low,male,"Yes, as a citizen","Not employed, currently looking for work",300 - 400,Most of it,Somewhat secure,... a little better,... stay the same,Neither well nor poorly,... got a little better,... get a little better,... increased moderately,... increase moderately,Prefer not to answer,Don't know,Don't know,Don't know,Slightly more,Neither agree nor disagree,Neither approve nor disapprove,Neither approve nor disapprove,,,,Neither approve nor disapprove,,A lot,A lot,Never acceptable,Don't know,Very angry,Don't know,Very angry,No,Don't know,Not at all likely,Neither positive nor negative,,Japan,,United States,Don't know,Never,
01ec0bf0-dc42-0135-5ddc-0a901406a434,23,rural,TR,medium,male,"Yes, as a citizen","Employed, working 30 or more hours per week",300 - 400,Most of it,Somewhat secure,... the same,... stay the same,Neither well nor poorly,... stayed the same,... stay the same,... increased a lot,... increase a lot,Somewhat secure,... stay the same,Neither the right moment nor the wrong moment,About the same,Slightly more,Neither agree nor disagree,Neither approve nor disapprove,Neither approve nor disapprove,,,,Neither approve nor disapprove,,A little,Not a lot,Sometimes acceptable,... increased a lot,A little angry,... increased a little,A little angry,No,Don't know,Not at all likely,Somewhat negative,,None of the above,,None of the above,Don't know,Sometime later,Desire to travel / see the world | Other reason | Job / career opportunities | Other reason related to quality of life
0211da20-dca4-0135-64ed-0a62aae02c3c,15,city,MX,medium,male,"Yes, as a citizen","In school, university or practical training",Under 100,All of it,Very secure,... a lot better,... get a little worse,Neither well nor poorly,... got a little better,... stay the same,... stayed about the same,... increase moderately,Not very secure,... stay the same,Neither the right moment nor the wrong moment,Fewer purchases,Much less,Somewhat disagree,Strongly disapprove,Strongly approve,,Somewhat disapprove,,,,Not at all,Not at all,Always acceptable,... increased a little,Not very angry,... stayed the same,A little angry,No,Not at all stable,Not very likely,Neither positive nor negative,Spain,,Japan,,Too little,Within the next 3 years,Cost of living
023e6670-dc2f-0135-f520-0a62aae02c3c,35,rural,EG,high,male,"Yes, as a citizen","Disabled, not able to work",Under 100,Most of it,Somewhat secure,... a little better,... stay the same,Neither well nor poorly,... got a little better,... stay the same,... increased a lot,... increase a lot,Not very secure,... stay the same,The right moment,More purchases,Slightly more,Somewhat agree,Somewhat approve,Strongly disapprove,,,,,,A lot,A lot,Sometimes acceptable,... increased a lot,A little angry,... increased a little,Very angry,No,Somewhat stable,Not at all likely,Neither positive nor negative,,Saudi Arabia | India | Japan,,United Kingdom | United States,The right amount,Never,
024913c0-e113-0135-a139-0a62aae02c3c,27,city,TR,low,male,"Yes, as a citizen","Not employed, currently looking for work",Under 100,About half,Not at all secure,... a lot worse,... get a lot better,Very poorly,... got a lot worse,... stay the same,... increased a little,... increase moderately,Not at all secure,... increase a little,The wrong moment,Fewer purchases,Slightly less,Neither agree nor disagree,Somewhat disapprove,Neither approve nor disapprove,,,,Somewhat disapprove,,A little,A lot,Never acceptable,... increased a little,A little angry,... increased a lot,Very angry,No,Not very stable,Not at all likely,Very negative,,None of the above,,United States,Don't know,Never,
025bfce0-dd8a-0135-b011-0a901406a434,19,city,TR,low,male,"Yes, as a citizen",Selfå_-employed / Freelancer,200 - 300,Most of it,Not very secure,... the same,... get a little worse,Fairly well,... got a lot better,Don't know,... increased a lot,... increase a lot,Not very secure,Don't know,The wrong moment,Fewer purchases,Neither more nor less,Strongly agree,Neither approve nor disapprove,Neither approve nor disapprove,,,,Somewhat approve,,A lot,A lot,Never acceptable,... increased a lot,A little angry,... decreased a lot,Not very angry,No,Don't know,Not at all likely,Very negative,,None of the above,,None of the above,The right amount,Never,
0270a290-dc24-0135-e68e-0a62aae02c3c,49,city,VE,high,female,"Yes, as a citizen",Retired,Prefer not to say,All of it,Not at all secure,... a lot worse,... get a lot worse,Very poorly,... got a lot worse,... get a little better,... increased a lot,... increase a lot,Not at all secure,... increase a lot,The wrong moment,Fewer purchases,Much less,Strongly agree,Strongly disapprove,Somewhat approve,Strongly disapprove,,,,,Not at all,Not at all,Sometimes acceptable,... decreased a lot,A little angry,... increased a lot,Very angry,No,Not at all stable,Very likely,Somewhat positive,China | United States,,China,,Too little,Within next 3 months,Economic situation in my country | Political situation in my country | Personal safety | Cost of living | Other reason related to quality of life
