meta.uuid,dem.age,dem.city_or_rural,dem.country_code,dem.education_level,dem.gender,question.DAL_residency,question.DAL_employment_status,question.DAL_household_income,question.DAL_disposable_income,question.DAL_CCI-Q12_household_finance_present,question.DAL_CCI_EC-Q1_household_finance_past,question.DAL_CCI_EC-Q2_household_finance_future,question.DAL_CCI-Q14_economic_situation_present,question.DAL_CCI_EC-Q3_economic_situation_past,question.DAL_CCI_EC-Q4_economic_situation_future,question.DAL_CCI_EC-Q5_inflation_past,question.DAL_CCI_EC-Q6_inflation_future,question.DAL_CCI-Q13_job_situation_present,question.DAL_CCI_EC-Q7_unemployment_future,question.DAL_CCI_EC-Q8_purchases_present,question.DAL_CCI_EC-Q9_purchases_future,question.DAL_PolRisk_democratic_change,question.DAL_PolRisk_strong_leader,question.DAL_PolRisk_approve_president,question.DAL_PolRisk_approve_political_rep,question.DAL_PolRisk_approve_ruling_party_VE,question.DAL_PolRisk_approve_ruling_party_MX,question.DAL_PolRisk_approve_ruling_party_BR,question.DAL_PolRisk_approve_ruling_party_TR,question.DAL_PolRisk_approve_ruling_party_UA,question.DAL_PolRisk_trust_police,question.DAL_PolRisk_trust_courts,question.DAL_PolRisk_tax_evasion,question.DAL_PolRisk_inequality_past,question.DAL_PolRisk_inequality_anger,question.DAL_PolRisk_corrupt_past,question.DAL_PolRisk_corrupt_anger,question.DAL_PolRisk_corrupt_experience,question.DAL_PolRisk_politcal_stability,question.DAL_PolRisk_protest_likelihood,question.DAL_opinion_foreign_companies,question.DAL_positive_countries_MX_BR_VE,question.DAL_positive_countries_UA_TR_EG,question.DAL_negative_countries_MX_BR_VE,question.DAL_negative_countries_UA_TR_EG,question.DAL_protectionism,question.DAL_migration_time,question.DAL_migration_motives
00ba2660-b11d-0135-6ffd-0a901406a434,26,city,VE,medium,male,"Yes, as a citizen","Employed, working 30 or more hours per week",More than 3000,Most of it,Not very secure,... the same,... stay the same,Fairly poorly,... got a lot worse,... get a lot better,... increased a lot,... increase a lot,Not very secure,... increase a lot,The right moment,More purchases,Much less,Strongly agree,Strongly disapprove,Strongly disapprove,Neither approve nor disapprove,,,,,Not a lot,Not at all,Never acceptable,... increased a lot,Very angry,... increased a lot,Very angry,Yes,Not at all stable,Not very likely,Very positive,United States | China,,None of the above,,Too little,Sometime later,Economic situation in my country | Job / career opportunities | Political situation in my country | Personal safety | Other reason related to quality of life
00cf22a0-b0ff-0135-4848-0a901406a434,37,city,EG,high,male,"Yes, as a citizen",Entrepreneur / Employer,100 - 200,Most of it,Very secure,... the same,... get a lot better,Fairly well,... got a little worse,... get a lot better,... increased a lot,... increase moderately,Very secure,... increase a little,Neither the right moment nor the wrong moment,More purchases,Much more,Strongly agree,Strongly approve,Somewhat disapprove,,,,,,A lot,A lot,Never acceptable,... increased a lot,Very angry,... increased a little,Very angry,Yes,Very stable,Somewhat likely,Very positive,,United States | China | Germany | Russia | France | Japan,,Turkey,Too much,Never,
00d02d90-b271-0135-ee96-0a62aae02c3c,40,city,EG,medium,male,"Yes, as a citizen","Employed, working 30 or more hours per week",Prefer not to say,Less than half,Somewhat secure,... a little worse,... stay the same,Neither well nor poorly,... got a little worse,... stay the same,... increased a lot,... increase a lot,Somewhat secure,... increase a lot,Neither the right moment nor the wrong moment,About the same,Neither more nor less,Neither agree nor disagree,Neither approve nor disapprove,Somewhat disapprove,,,,,,A little,A little,Never acceptable,... increased a little,A little angry,... stayed the same,Not very angry,No,Somewhat stable,Not at all likely,Neither positive nor negative,,Germany | India,,Turkey | United States,Don't know,Never,
0112b7b0-b201-0135-1fda-0a62aae02c3c,31,city,UA,medium,female,"Yes, as a citizen","Employed, working 1 to å_29 hours per week",Prefer not to say,About half,Somewhat secure,... the same,Don't know,Very poorly,... got a lot worse,... get a lot worse,... increased a lot,... increase a lot,Not very secure,... increase a lot,The wrong moment,Fewer purchases,Neither more nor less,Somewhat agree,Strongly disapprove,Strongly disapprove,,,,,Somewhat disapprove,A little,A little,Never acceptable,... increased a lot,Very angry,... stayed the same,A little angry,Yes,Not at all stable,Not at all likely,Somewhat positive,,China,,None of the above,Too little,Never,
012e1dc0-b109-0135-55f4-0a901406a434,21,city,TR,low,female,"Yes, as a citizen","Not employed, currently looking for work",1000 - 1500,About half,Somewhat secure,... a little worse,... get a little better,Neither well nor poorly,... got a little better,... get a little better,... increased a lot,... increase a lot,Not at all secure,... increase a lot,Don't know,About the same,Neither more nor less,Somewhat agree,Strongly approve,Neither approve nor disapprove,,,,Somewhat approve,,A little,Not a lot,Always acceptable,... stayed the same,Very angry,... stayed the same,Not very angry,No,Very stable,Not at all likely,Somewhat negative,,Germany,,Germany,Too little,Within the next 3 years,Weather / climate
01302c10-b3a9-0135-b22e-0a62aae02c3c,26,city,MX,low,female,"Yes, as a citizen",Selfå_-employed / Freelancer,100 - 200,About half,Very secure,... the same,... get a lot better,Very poorly,... got a lot worse,... get a lot worse,... increased a little,... increase a little,Somewhat secure,... stay the same,Neither the right moment nor the wrong moment,About the same,Slightly more,Strongly agree,Strongly approve,Somewhat approve,,Strongly approve,,,,A little,Not a lot,Never acceptable,... increased a lot,Very angry,... increased a lot,Very angry,Yes,Not at all stable,Somewhat likely,Very positive,Spain | Japan | Germany | China | United States | Canada | United Kingdom | France,,United States,,Too little,Within the next 3 years,Economic situation in my country | Job / career opportunities | Desire to travel / see the world | Personal safety
01478d70-b400-0135-0eef-0a62aae02c3c,14,city,TR,low,female,"Yes, as a citizen","In school, university or practical training",Prefer not to say,Most of it,Somewhat secure,... a little better,... get a lot better,Very poorly,Don't know,Don't know,... increased moderately,Don't know,Somewhat secure,... stay the same,Neither the right moment nor the wrong moment,About the same,Neither more nor less,Neither agree nor disagree,Neither approve nor disapprove,Neither approve nor disapprove,,,,Neither approve nor disapprove,,A little,A little,Never acceptable,... increased a lot,Very angry,Don't know,Not very angry,No,Don't know,Not at all likely,Neither positive nor negative,,Germany | United Kingdom | United States,,India | Russia,Don't know,Sometime later,Desire to travel / see the world | Escaping oppression or discrimination in my country | Educational opportunities | Economic situation in my country | Personal safety | Cost of living | Job / career opportunities | Other reason related to quality of life
014c3b40-b16b-0135-1168-0a901406a434,27,city,TR,medium,male,"Yes, as a citizen","Employed, working 1 to å_29 hours per week",750 - 1000,Less than half,Very secure,... a little better,... get a little better,Fairly poorly,... got a little worse,... get a little worse,... increased moderately,... increase moderately,Somewhat secure,... increase a lot,Neither the right moment nor the wrong moment,About the same,Neither more nor less,Neither agree nor disagree,Neither approve nor disapprove,Neither approve nor disapprove,,,,Neither approve nor disapprove,,A little,Not a lot,Never acceptable,... increased a lot,Very angry,Don't know,Very angry,No,Not very stable,Not at all likely,Somewhat positive,,Germany | United States | Russia,,Saudi Arabia | United Kingdom | Ukraine,Too little,Sometime later,Job / career opportunities | Desire to travel / see the world | Personal safety | Educational opportunities | Civic freedoms | Other reason related to quality of life
0153ec10-b2ec-0135-36b6-0a62aae02c3c,30,city,EG,medium,male,"Yes, as a citizen","Employed, working 30 or more hours per week",200 - 300,All of it,Not at all secure,... a little worse,Don't know,Very poorly,... got a lot worse,... stay the same,... increased a lot,... increase a lot,Not at all secure,... increase a lot,The wrong moment,Fewer purchases,Much less,Somewhat agree,Somewhat approve,Strongly disapprove,,,,,,A little,Not at all,Never acceptable,... increased a lot,Very angry,... increased a lot,Very angry,Yes,Somewhat stable,Not very likely,Somewhat positive,,Russia | China,,Saudi Arabia,Too little,Within next 3 months,Economic situation in my country | Personal safety | Job / career opportunities | Cost of living | Educational opportunities | Civic freedoms | Political situation in my country | Escaping oppression or discrimination in my country | Other reason related to quality of life
0175b110-b149-0135-f90a-0a901406a434,22,city,EG,medium,male,"Yes, as a citizen","In school, university or practical training",400 - 500,Most of it,Somewhat secure,... a little worse,... get a lot better,Very poorly,... got a lot worse,... get a little better,... increased a lot,... increase moderately,Somewhat secure,... increase a lot,The wrong moment,Fewer purchases,Slightly more,Somewhat disagree,Somewhat disapprove,Somewhat disapprove,,,,,,Not a lot,Not a lot,Never acceptable,... increased a lot,A little angry,... increased a lot,A little angry,Yes,Not very stable,Not at all likely,Somewhat positive,,China | Germany | Saudi Arabia,,United States,Too much,Within the next 3 years,Job / career opportunities | Desire to travel / see the world
01ab02d0-b12a-0135-fdc8-0a901406a434,43,city,UA,medium,female,"Yes, as a citizen","Employed, working 30 or more hours per week",400 - 500,Less than half,Somewhat secure,... the same,... stay the same,Very poorly,... got a lot worse,... get a lot worse,... increased moderately,... increase moderately,Somewhat secure,... increase a little,The right moment,More purchases,Much less,Strongly agree,Strongly disapprove,Strongly disapprove,,,,,Strongly disapprove,A little,Not a lot,Sometimes acceptable,... increased a lot,Not very angry,... increased a lot,Not very angry,No,Not at all stable,Somewhat likely,Very positive,,United States | China | Russia | United Kingdom | Germany,,Russia,Too little,Sometime later,Cost of living | Political situation in my country | Economic situation in my country
01b51330-b12f-0135-02bb-0a901406a434,34,rural,TR,medium,male,"Yes, as a citizen","Employed, working 30 or more hours per week",Prefer not to say,All of it,Somewhat secure,... a little better,... get a little better,Neither well nor poorly,... got a little better,... stay the same,... increased a lot,... increase a lot,Not very secure,... increase a little,The wrong moment,Fewer purchases,Slightly more,Strongly agree,Strongly approve,Somewhat disapprove,,,,Somewhat approve,,Not a lot,Not a lot,Never acceptable,... increased a lot,Very angry,... increased a lot,Very angry,Yes,Not very stable,Not at all likely,Neither positive nor negative,,None of the above,,Russia | United Kingdom | United States | China | Germany | France | Japan | Saudi Arabia,Don't know,Within the next year,Economic situation in my country | Cost of living | Educational opportunities | Desire to travel / see the world
01c8ad60-b101-0135-21c3-0a62aae02c3c,25,city,MX,medium,male,"Yes, as a citizen","Employed, working 30 or more hours per week",300 - 400,Most of it,Somewhat secure,... a lot better,... get a lot better,Fairly poorly,... stayed the same,... get a little better,... increased moderately,... increase moderately,Somewhat secure,... stay the same,The wrong moment,About the same,Much more,Strongly agree,Strongly approve,Somewhat approve,,Somewhat approve,,,,A little,A little,Never acceptable,... stayed the same,Very angry,... increased a lot,Very angry,Yes,Somewhat stable,Somewhat likely,Somewhat positive,China | United States | Japan | Canada,,Spain | United Kingdom,,Too little,Within the next 3 years,Job / career opportunities
022ad750-b112-0135-3890-0a62aae02c3c,34,city,BR,high,female,"Yes, as a citizen","Employed, working 30 or more hours per week",2000 - 3000,All of it,Very secure,... the same,... stay the same,Neither well nor poorly,... stayed the same,... stay the same,... increased a little,... increase a little,Not very secure,... stay the same,Neither the right moment nor the wrong moment,About the same,Slightly more,Neither agree nor disagree,Neither approve nor disapprove,Neither approve nor disapprove,,,Neither approve nor disapprove,,,A little,A little,Never acceptable,... stayed the same,Not very angry,... increased a little,A little angry,No,Not very stable,Very likely,Somewhat positive,United States,,None of the above,,Don't know,Never,
02384700-b108-0135-5482-0a901406a434,28,city,VE,medium,male,"Yes, as a citizen","Not employed, currently looking for work",400 - 500,All of it,Not at all secure,... a little better,... get a lot worse,Very poorly,... got a lot worse,... get a little worse,... increased a lot,... decrease,Not at all secure,... decrease a little,Neither the right moment nor the wrong moment,Fewer purchases,Much less,Strongly disagree,Strongly disapprove,Strongly disapprove,Strongly disapprove,,,,,Not at all,Not at all,Never acceptable,... decreased a little,A little angry,... increased a lot,Very angry,Yes,Not at all stable,Somewhat likely,Neither positive nor negative,United States | United Kingdom | Canada | Germany | France | Spain | Japan,,China,,Too little,Sometime later,Personal safety | Job / career opportunities | Economic situation in my country | Escaping oppression or discrimination in my country | Cost of living | Political situation in my country | Civic freedoms | Desire to travel / see the world | Other reason related to quality of life
02525140-b50f-0135-b221-0a62aae02c3c,57,city,TR,medium,male,"Yes, as a citizen","Employed, working 30 or more hours per week",1500 - 2000,About half,Somewhat secure,... a little better,... stay the same,Fairly poorly,... got a little worse,... stay the same,... increased moderately,... increase a little,Very secure,... increase a lot,The wrong moment,About the same,Neither more nor less,Somewhat agree,Neither approve nor disapprove,Somewhat approve,,,,Neither approve nor disapprove,,Not a lot,Not at all,Never acceptable,... increased a lot,A little angry,... increased a lot,Very angry,No,Not at all stable,Not at all likely,Very positive,,France | Japan | United States | United Kingdom | Germany | Ukraine | Russia,,India | Saudi Arabia | China,Too little,Within the next 3 years,Civic freedoms | Cost of living | Escaping oppression or discrimination in my country | Proximity to family | Personal safety | Retirement | Political situation in my country | Economic situation in my country | Job / career opportunities | Other reason related to quality of life
0276fb80-b10d-0135-3189-0a62aae02c3c,32,city,EG,high,male,"Yes, as a citizen","Employed, working 30 or more hours per week",More than 3000,About half,Very secure,... a little worse,... get a little better,Very poorly,... got a lot worse,... get a lot worse,... increased a lot,... increase a lot,Very secure,... increase a lot,Neither the right moment nor the wrong moment,Fewer purchases,Much less,Somewhat agree,Strongly disapprove,Strongly disapprove,,,,,,Not a lot,Not a lot,Never acceptable,... increased a lot,Very angry,... increased a lot,Very angry,Yes,Not at all stable,Somewhat likely,Somewhat negative,,United States | Saudi Arabia | Russia,,United States,Too little,Within the next year,Economic situation in my country | Escaping oppression or discrimination in my country | Cost of living
02784b30-bc0b-0135-eec0-0a62aae02c3c,22,city,EG,medium,female,"Yes, as a citizen","In school, university or practical training",100 - 200,About half,Very secure,... a lot better,... get a little better,Neither well nor poorly,... got a little better,... get a little better,... increased a lot,... decrease,Somewhat secure,... decrease a little,Neither the right moment nor the wrong moment,More purchases,Slightly more,Strongly agree,Strongly approve,Strongly approve,,,,,,A lot,A lot,Never acceptable,... increased a little,Very angry,... decreased a little,Very angry,No,Not very stable,Not at all likely,Very positive,,Saudi Arabia | United States,,None of the above,Too much,Within the next 3 years,Educational opportunities | Weather / climate | Civic freedoms | Desire to travel / see the world
028a2c50-b205-0135-2341-0a62aae02c3c,29,city,BR,medium,male,"Yes, as a citizen",Selfå_-employed / Freelancer,500 - 750,Most of it,Somewhat secure,... a little worse,... get a little better,Fairly well,... got a little better,... get a little better,... increased a lot,... decrease,Not very secure,... decrease a little,The wrong moment,Fewer purchases,Much more,Strongly agree,Neither approve nor disapprove,Neither approve nor disapprove,,,Somewhat approve,,,Not at all,Not a lot,Never acceptable,... increased a lot,Very angry,... increased a lot,Very angry,Yes,Not very stable,Very likely,Very positive,United States | China | Japan,,France | Germany | Spain | Canada | United Kingdom,,Too little,Never,
02995f30-bb3b-0135-b83f-0a62aae02c3c,17,rural,EG,low,male,"Yes, as a citizen","In school, university or practical training",Under 100,Most of it,Somewhat secure,... a little worse,... stay the same,Fairly poorly,... got a little worse,... stay the same,... increased a lot,... increase a little,Somewhat secure,... stay the same,Neither the right moment nor the wrong moment,About the same,Slightly less,Somewhat agree,Somewhat disapprove,Somewhat disapprove,,,,,,A little,A little,Never acceptable,... increased a little,A little angry,... increased a little,A little angry,Yes,Somewhat stable,Not at all likely,Somewhat positive,,Saudi Arabia | China,,India,The right amount,Within the next year,Educational opportunities | Personal safety | Job / career opportunities
02995f30-bb3b-0135-b83f-0a62aae02c3c,17,rural,EG,low,male,"Yes, as a citizen","In school, university or practical training",Under 100,Most of it,Somewhat secure,... a little worse,... stay the same,Fairly poorly,... got a little worse,... stay the same,... increased a lot,... increase a little,Somewhat secure,... stay the same,Neither the right moment nor the wrong moment,About the same,Slightly less,Somewhat agree,Somewhat disapprove,Somewhat disapprove,,,,,,A little,A little,Never acceptable,... increased a little,A little angry,... increased a little,A little angry,Yes,Somewhat stable,Not at all likely,Somewhat positive,,Saudi Arabia | China,,India,The right amount,Within the next year,Educational opportunities | Personal safety | Job / career opportunities
02a309e0-b0fa-0135-180f-0a62aae02c3c,23,city,BR,medium,male,"Yes, as a citizen",None of the above,200 - 300,About half,Somewhat secure,... a little worse,... get a lot better,Very poorly,... got a little worse,... get a little better,... increased moderately,... increase moderately,Very secure,... increase a little,The right moment,More purchases,Slightly less,Neither agree nor disagree,Strongly approve,Somewhat approve,,,Strongly approve,,,A little,A little,Sometimes acceptable,... increased a little,Very angry,... increased a lot,Very angry,No,Not very stable,Not at all likely,Very positive,United States | Germany | Spain | Canada | France,,China | Japan | United Kingdom,,The right amount,Within the next 3 years,Cost of living | Job / career opportunities | Economic situation in my country | Educational opportunities
02b3d3b0-b2d8-0135-9c07-0a62aae02c3c,26,city,MX,medium,male,"Yes, as a citizen","Employed, working 30 or more hours per week",400 - 500,Only a little,Very secure,... a little better,... get a lot better,Neither well nor poorly,... got a little better,... stay the same,... increased a lot,... increase moderately,Very secure,... increase a little,The right moment,About the same,Slightly more,Strongly agree,Somewhat disapprove,Somewhat disapprove,,Neither approve nor disapprove,,,,Not at all,A little,Never acceptable,... increased a little,A little angry,... increased a little,A little angry,No,Not very stable,Not at all likely,Somewhat positive,United States | Germany | Japan,,China | United States,,Too little,Sometime later,Desire to travel / see the world
02b51570-b2e6-0135-7bf9-0a901406a434,22,rural,MX,medium,female,"Yes, as a citizen","In school, university or practical training",Prefer not to say,Don't know,Not very secure,... a little worse,... get a lot better,Fairly poorly,... got a lot worse,... get a little better,... increased a lot,... decrease,Not very secure,Don't know,Neither the right moment nor the wrong moment,Don't know,Neither more nor less,Neither agree nor disagree,Somewhat disapprove,Somewhat disapprove,,Strongly disapprove,,,,Not at all,Not at all,Sometimes acceptable,Don't know,Very angry,... increased a lot,Very angry,No,Don't know,Not at all likely,Neither positive nor negative,United States | China,,None of the above,,Don't know,Within the next 3 years,Economic situation in my country | Job / career opportunities
02bef2a0-b10e-0135-3315-0a62aae02c3c,49,city,VE,high,female,"Yes, as a citizen",None of the above,More than 3000,Most of it,Somewhat secure,... a lot worse,... get a little better,Very poorly,... got a lot worse,... get a little better,... increased a lot,... increase a little,Prefer not to answer,... stay the same,The wrong moment,Don't know,Much less,Somewhat disagree,Strongly disapprove,Strongly disapprove,Strongly disapprove,,,,,A little,Not a lot,Never acceptable,... increased a lot,Very angry,... increased a lot,Very angry,Yes,Not at all stable,Very likely,Very positive,United States | Spain | Germany | France | Japan | Canada | United Kingdom | China,,None of the above,,Don't know,Never,
02c91db0-bb4c-0135-cbc8-0a62aae02c3c,31,city,EG,low,male,"Yes, as a citizen","Employed, working 30 or more hours per week",200 - 300,All of it,Somewhat secure,... a little worse,... get a little better,Very poorly,... got a lot worse,... get a lot worse,... increased a lot,... increase a lot,Somewhat secure,... increase a little,The wrong moment,Fewer purchases,Neither more nor less,Strongly agree,Somewhat disapprove,Somewhat disapprove,,,,,,Not a lot,Not a lot,Never acceptable,... increased a lot,Very angry,... stayed the same,Very angry,No,Somewhat stable,Not at all likely,Somewhat positive,,China,,None of the above,The right amount,Within next 3 months,Other reason related to quality of life
030b2cf0-b0ff-0135-1ece-0a62aae02c3c,51,city,VE,medium,male,"Yes, as a citizen",Selfå_-employed / Freelancer,More than 3000,Most of it,Not very secure,... a lot worse,... get a little better,Very poorly,... got a lot worse,... get a lot worse,... increased a lot,... increase a lot,Not very secure,... increase a lot,The right moment,Fewer purchases,Much less,Somewhat disagree,Strongly disapprove,Somewhat approve,Neither approve nor disapprove,,,,,Not at all,Not at all,Never acceptable,... increased a lot,Very angry,... increased a lot,Very angry,Yes,Not at all stable,Somewhat likely,Very negative,United States | Spain | Canada | France,,China | Japan,,Too little,Never,
03112290-b101-0135-4b25-0a901406a434,24,city,UA,high,male,"Yes, as a citizen","Employed, working 30 or more hours per week",200 - 300,About half,Somewhat secure,... a little better,... get a little better,Neither well nor poorly,... stayed the same,... stay the same,... increased moderately,... increase moderately,Somewhat secure,... increase a little,The right moment,More purchases,Neither more nor less,Neither agree nor disagree,Neither approve nor disapprove,Neither approve nor disapprove,,,,,Somewhat approve,A little,A little,Never acceptable,... stayed the same,A little angry,... stayed the same,A little angry,No,Somewhat stable,Not at all likely,Somewhat positive,,Germany | China | United States,,None of the above,The right amount,Never,
